Total Population,California County,Longitude,Latitude,PM2.5,Cleanup Sites,Haz. Waste,Pollution Burden,Asthma,Cardiovascular Disease,Traffic
1580,San Bernardino,-117.2926063,34.1006404,11.36870408,43.2,0.82,56.703633217606,92.63,21.43,1119.861894
4805,Los Angeles,-118.2100244,33.8993431,12.10598268,0.0,2.775,60.2458127346883,95.67,24.68,788.2341464
3087,Los Angeles,-118.4116037,34.1972751,11.56904887,36.0,0.555,62.9703922933228,67.5,18.57,1078.155377
5146,Los Angeles,-118.2520958,33.9921607,12.15277014,91.7,1.265,59.8610259178789,69.72,22.77,626.5593905
3529,Solano ,-122.2449025,38.0900421,9.095673213,9.1,0.775,60.7006426932993,199.35,21.22,1032.450718
5807,Los Angeles,-118.2043891,33.9275094,12.03711727,9.75,0.375,59.8699119606893,67.87,18.84,2041.041484
2420,Alameda ,-122.2109235,37.7621786,9.08286493,68.95,1.43,62.3119935911422,113.3,12.41,1658.41929
5949,Los Angeles,-118.3700611,33.9590575,11.92992332,25.4,14.625,64.6590813830264,92.39,18.57,1938.556275
5045,Los Angeles,-118.4531264,34.2047824,11.80687777,36.25,0.785,57.7121056708493,109.67,20.85,1063.396908
3341,Los Angeles,-118.1955701,34.0248828,12.25496306,6.5,2.36,68.1531441174264,76.1,20.87,3824.66063
3719,Los Angeles,-118.165883,34.0387595,12.15638623,8.7,0.525,63.9485031591485,66.37,15.57,2559.699566
5456,Fresno ,-119.7791954,36.7724799,13.75766747,9.0,0.36,58.6783608466882,133.03,16.16,2091.787221
4759,Los Angeles,-118.2608177,33.9925311,12.10765122,99.65,0.345,60.9265296104971,66.83,21.79,717.1675568
4197,Los Angeles,-118.2679732,33.9296426,12.10169951,0.0,0.05,58.1378428879561,119.22,20.85,4387.044921
4976,Los Angeles,-117.7349296,34.0542821,12.75120791,50.5,1.11,64.3484185085423,67.92,15.89,550.9859077
4134,Los Angeles,-118.267011,33.7729434,11.77535951,44.5,0.98,60.3710364433577,76.33,21.61,211.6913887
4129,Los Angeles,-118.1915438,33.7862264,11.70376562,7.0,0.36,53.9392339675521,128.01,27.87,980.0530426
5269,Los Angeles,-118.2624816,34.0634788,12.33647073,18.6,0.38,70.3407044892049,45.67,10.62,1241.496196
3295,Los Angeles,-118.2265977,33.9058075,12.09830951,10.0,5.655,60.8829935284105,131.07,22.67,879.757827
6881,Los Angeles,-118.1719652,33.8861963,12.14364358,15.75,5.585,68.532720854407,52.77,14.89,1258.047934
3623,Los Angeles,-118.251933,34.0157537,12.09940492,35.75,1.17,56.9695813967224,69.72,22.77,694.4065848
6246,Los Angeles,-118.0367895,34.0678011,11.99426857,29.7,0.52,73.8392710640655,48.95,11.33,2091.666854
4556,Los Angeles,-118.3100903,33.9863341,11.96234496,6.0,0.695,57.6436877291966,141.59,19.91,946.2317225
4176,Los Angeles,-118.4523813,34.1830757,11.84362669,18.5,0.57,57.5685489863426,74.24,19.06,1256.310174
4750,Fresno ,-119.7933565,36.743063,13.75654525,3.4,0.365,54.1153497842405,139.07,20.4,712.3277096
4439,Los Angeles,-118.3638538,33.9348001,12.01108536,8.25,0.52,67.5511094691292,59.03,16.1,1977.605847
5259,Los Angeles,-118.1734078,33.9836095,12.07819852,17.45,0.395,67.4986763732174,51.32,19.05,3856.826903
2157,Los Angeles,-118.183979,34.0592143,12.20229619,25.5,2.81,73.6241957516563,56.55,16.08,1529.021674
5077,Los Angeles,-118.0533005,34.0788602,11.89284869,21.9,0.745,70.2378951338588,45.36,10.54,2292.788282
5000,Los Angeles,-118.4605367,34.1838638,11.85390933,9.35,1.21,63.3253590951704,75.59,19.38,1247.91131
9434,San Bernardino,-117.6996325,34.063215,13.11261367,27.0,0.835,61.092652796375,65.02,18.24,729.5381365
6167,Los Angeles,-118.2684059,33.946945,12.0941273,0.95,0.125,54.4770377919624,91.05,22.32,676.0721954
2856,San Joaquin,-121.2686436,37.9313083,11.68145712,11.25,0.375,56.7820384162032,84.83,17.12,670.708918
3489,Los Angeles,-118.2455126,34.1174815,11.98082094,36.9,1.18,70.3887288968695,65.4,11.07,2264.840515
3588,Los Angeles,-118.4698195,34.1879585,12.08262759,0.5,1.275,66.8209546849262,57.11,14.41,3893.945275
7949,Los Angeles,-118.2488118,33.9644276,12.09489677,10.45,2.37,57.1118826356153,75.3,23.01,788.5604294
2923,Kern ,-118.9369122,35.2620354,13.66583382,2.25,0.4,61.0690749223416,77.48,21.69,131.6550903
3417,Los Angeles,-118.2413457,33.9852598,12.136112,88.75,9.99,64.395916071429,72.22,22.06,807.6940767
3684,Los Angeles,-118.0588991,34.0468938,12.00257511,53.5,2.27,79.2372719362039,65.92,16.69,2406.642418
6829,Los Angeles,-118.2336919,33.9395183,12.07407493,48.35,1.41,57.6441495621078,90.26,20.9,468.3874688
4351,Los Angeles,-118.1829301,33.9660331,12.03133345,16.35,0.82,62.316947545397,54.25,23.93,1158.132247
3063,Los Angeles,-118.2202429,34.0678503,13.26241232,45.95,6.795,75.4534880866123,56.77,9.35,2494.648197
5627,Orange ,-117.9110788,33.8211215,12.08608968,15.0,0.81,65.6856714496667,53.66,12.87,2362.63245
10772,Kern ,-118.9452577,35.3590376,15.6007239,14.6,2.845,57.8665549301032,84.71,23.51,696.4949013
5567,Los Angeles,-118.2839315,33.9996748,11.99843255,5.4,0.18,56.0006616220782,100.68,20.14,3043.231559
3155,Los Angeles,-118.1690175,33.9431242,12.03321154,62.25,5.285,78.3707270224695,40.75,14.54,3311.619175
8042,Los Angeles,-118.1796736,33.8686923,12.25666707,9.0,1.185,62.9018959584045,94.42,20.48,743.463199
6524,Los Angeles,-118.2361363,33.9615844,12.07274542,59.85,1.3,62.9646047492784,72.41,20.81,854.0064334
6163,Los Angeles,-118.2136057,33.915979,12.08913112,20.8,8.165,62.8709096359955,63.03,17.35,988.1238488
4121,Los Angeles,-118.2302769,34.06898,13.32985065,70.35,5.38,75.0295152841696,30.75,10.73,1563.55891
2277,Riverside ,-117.3656342,33.9928146,12.44342326,27.15,0.385,65.5809287860032,97.64,24.31,2510.906229
3626,Los Angeles,-118.2871419,33.9024424,12.11872262,4.0,1.5,69.4837767560854,75.78,14.63,2667.957948
5620,San Joaquin,-121.3278662,37.9577717,11.19814029,26.25,0.37,64.8273640436812,156.91,21.17,1394.73263
2692,Los Angeles,-118.2115758,34.0650794,12.7350876,11.0,2.705,72.5255783952258,52.95,8.87,2434.411276
6638,Los Angeles,-118.2033535,33.9170524,12.06300382,9.5,0.305,64.0131445021419,65.97,18.28,2827.882907
2358,Los Angeles,-118.16579,33.9718406,12.02588499,20.35,1.11,73.9574168442024,52.71,23.15,3653.600878
3357,San Joaquin,-121.2449753,37.954985,11.59562174,1.25,0.07,58.545200041517,98.75,23.16,1329.485782
3270,Los Angeles,-118.4327217,34.2670388,11.28546472,54.75,0.65,65.2784096350233,81.71,13.36,2260.072102
4952,Los Angeles,-118.2461145,33.948506,12.06896138,6.75,0.11,53.7314501992247,103.63,25.73,549.1181686
4687,Alameda ,-122.2213677,37.7200105,8.709957218,44.8,2.75,61.0882977394832,173.63,15.26,1717.311566
4334,San Joaquin,-121.278407,37.9292396,11.55212827,9.15,0.46,60.1996838507629,100.34,19.92,405.5401491
4832,Los Angeles,-118.4389293,34.2703268,11.23023082,27.45,0.965,64.7150402596441,66.35,10.62,2115.630838
3821,Los Angeles,-118.4357986,34.2051758,11.68435272,41.0,0.28,57.7707385962039,109.67,20.85,1190.090765
4489,Los Angeles,-118.2771882,33.9923979,11.99449266,16.5,0.25,63.9006496862704,50.48,12.0,3324.181219
4717,Los Angeles,-118.0226938,34.0464413,12.11875988,17.45,0.345,64.3227824297858,61.82,13.44,336.2833308
4512,Los Angeles,-118.2531399,33.9714062,12.12263212,16.15,1.155,56.0128415106717,80.16,24.73,831.9389468
6249,Merced ,-120.8585299,37.0634558,11.27859606,11.0,0.125,54.8920689599722,133.39,19.18,578.0383978
5360,Los Angeles,-118.2113097,33.7930319,11.67703568,0.7,10.555,63.9307890228075,74.82,19.6,2340.123353
